
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> This is Threenonlinear network , ini learningRate = 1.000000e-02 , min batch size = 400 , DropPeriod = 6 , DropFactor = 0.100000 
>> Hidden Units = 60 , v2 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> load amp=2 
load amp=3 
load amp=4 
load amp=5 
load amp=6 
load amp=7 
load amp=8 
load amp=9 
load amp=10 
load amp=11 
load amp=12 
load amp=13 
load amp=14 
load amp=15 
load amp=16 
load amp=17 
load amp=18 
load amp=19 
load amp=20 
load amp=21 
load amp=22 
load amp=23 
load amp=24 
load amp=25 
load amp=26 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      15 |         798 |       00:04:35 |         0.06 |     9.04e-03 |       0.0021 |   4.0882e-05 |      1.0000e-04 |
|      15 |         800 |       00:04:36 |         0.06 |              |       0.0019 |              |      1.0000e-04 |
|      15 |         812 |       00:04:40 |         0.06 |     9.22e-03 |       0.0020 |   4.2480e-05 |      1.0000e-04 |
|      15 |         826 |       00:04:45 |         0.06 |     9.06e-03 |       0.0020 |   4.1006e-05 |      1.0000e-04 |
|      15 |         840 |       00:04:50 |         0.06 |     9.12e-03 |       0.0021 |   4.1630e-05 |      1.0000e-04 |
|      16 |         850 |       00:04:53 |         0.06 |              |       0.0020 |              |      1.0000e-04 |
|      16 |         854 |       00:04:54 |         0.06 |     9.03e-03 |       0.0019 |   4.0799e-05 |      1.0000e-04 |
|      16 |         868 |       00:04:59 |         0.06 |     9.10e-03 |       0.0019 |   4.1435e-05 |      1.0000e-04 |
|      16 |         882 |       00:05:04 |         0.07 |     9.11e-03 |       0.0021 |   4.1527e-05 |      1.0000e-04 |
|      16 |         896 |       00:05:09 |         0.06 |     9.13e-03 |       0.0020 |   4.1640e-05 |      1.0000e-04 |
|      17 |         900 |       00:05:10 |         0.06 |              |       0.0020 |              |      1.0000e-04 |
|      17 |         910 |       00:05:14 |         0.06 |     8.99e-03 |       0.0020 |   4.0370e-05 |      1.0000e-04 |
