
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> This is Threenonlinear network , ini learningRate = 1.000000e-02 , min batch size = 400 , DropPeriod = 5 , DropFactor = 0.100000 
>> Hidden Units = 60 , v5 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> load amp=2 
load amp=3 
load amp=4 
load amp=5 
load amp=6 
load amp=7 
load amp=8 
load amp=9 
load amp=10 
load amp=11 
load amp=12 
load amp=13 
load amp=14 
load amp=15 
load amp=16 
load amp=17 
load amp=18 
load amp=19 
load amp=20 
load amp=21 
load amp=22 
load amp=23 
load amp=24 
load amp=25 
load amp=26 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      21 |        1134 |       00:07:14 |         0.06 |     8.11e-03 |       0.0019 |   3.2874e-05 |      1.0000e-06 |
|      21 |        1148 |       00:07:19 |         0.06 |     8.12e-03 |       0.0018 |   3.2988e-05 |      1.0000e-06 |
|      21 |        1150 |       00:07:20 |         0.06 |              |       0.0020 |              |      1.0000e-06 |
|      21 |        1162 |       00:07:25 |         0.06 |     8.12e-03 |       0.0020 |   3.2936e-05 |      1.0000e-06 |
|      21 |        1176 |       00:07:30 |         0.06 |     8.14e-03 |       0.0018 |   3.3099e-05 |      1.0000e-06 |
|======================================================================================================================|
Training finished: Met validation criterion.
already training 1 times 
Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |         2.05 |         1.18 |       2.0971 |       0.6965 |          0.0100 |
|       1 |          14 |       00:00:05 |         0.43 |         0.23 |       0.0919 |       0.0258 |          0.0100 |
|       1 |          28 |       00:00:10 |         0.17 |         0.07 |       0.0139 |       0.0028 |          0.0100 |
|       1 |          42 |       00:00:16 |         0.12 |         0.09 |       0.0075 |       0.0043 |          0.0100 |
|       1 |          50 |       00:00:19 |         0.11 |              |       0.0058 |              |          0.0100 |
|       1 |          56 |       00:00:21 |         0.10 |         0.04 |       0.0054 |       0.0008 |          0.0100 |
|       2 |          70 |       00:00:26 |         0.11 |         0.06 |       0.0057 |       0.0016 |          0.0100 |
|       2 |          84 |       00:00:32 |         0.08 |         0.04 |       0.0033 |       0.0009 |          0.0100 |
|       2 |          98 |       00:00:37 |         0.09 |         0.04 |       0.0039 |       0.0010 |          0.0100 |
|       2 |         100 |       00:00:38 |         0.09 |              |       0.0040 |              |          0.0100 |
|       2 |         112 |       00:00:42 |         0.08 |         0.07 |       0.0031 |       0.0023 |          0.0100 |
|       3 |         126 |       00:00:48 |         0.08 |         0.05 |       0.0032 |       0.0012 |          0.0100 |
|       3 |         140 |       00:00:53 |         0.09 |         0.02 |       0.0039 |       0.0003 |          0.0100 |
|       3 |         150 |       00:00:57 |         0.09 |              |       0.0039 |              |          0.0100 |
|       3 |         154 |       00:00:58 |         0.08 |         0.06 |       0.0032 |       0.0016 |          0.0100 |
|       3 |         168 |       00:01:04 |         0.11 |         0.05 |       0.0059 |       0.0014 |          0.0100 |
|       4 |         182 |       00:01:09 |         0.10 |         0.03 |       0.0050 |       0.0004 |          0.0100 |
|       4 |         196 |       00:01:14 |         0.09 |         0.04 |       0.0038 |       0.0010 |          0.0100 |
|       4 |         200 |       00:01:16 |         0.08 |              |       0.0034 |              |          0.0100 |
|       4 |         210 |       00:01:20 |         0.09 |         0.04 |       0.0037 |       0.0008 |          0.0100 |
|       4 |         224 |       00:01:25 |         0.10 |         0.06 |       0.0046 |       0.0016 |          0.0100 |
|       5 |         238 |       00:01:30 |         0.08 |         0.04 |       0.0035 |       0.0007 |          0.0100 |
|       5 |         250 |       00:01:35 |         0.08 |              |       0.0031 |              |          0.0100 |
|       5 |         252 |       00:01:36 |         0.08 |         0.03 |       0.0030 |       0.0005 |          0.0100 |
|       5 |         266 |       00:01:41 |         0.10 |         0.03 |       0.0048 |       0.0005 |          0.0100 |
|       5 |         280 |       00:01:46 |         0.08 |         0.07 |       0.0032 |       0.0023 |          0.0100 |
|       6 |         294 |       00:01:51 |         0.07 |         0.03 |       0.0024 |       0.0005 |          0.0010 |
|       6 |         300 |       00:01:54 |         0.06 |              |       0.0021 |              |          0.0010 |
|       6 |         308 |       00:01:57 |         0.06 |     9.63e-03 |       0.0020 |   4.6341e-05 |          0.0010 |
|       6 |         322 |       00:02:02 |         0.06 |         0.01 |       0.0019 |   5.1151e-05 |          0.0010 |
|       6 |         336 |       00:02:07 |         0.06 |     9.56e-03 |       0.0021 |   4.5651e-05 |          0.0010 |
|       7 |         350 |       00:02:12 |         0.07 |     9.16e-03 |       0.0021 |   4.1974e-05 |          0.0010 |
|       7 |         364 |       00:02:18 |         0.06 |     8.06e-03 |       0.0019 |   3.2503e-05 |          0.0010 |
|       7 |         378 |       00:02:23 |         0.06 |     9.87e-03 |       0.0020 |   4.8722e-05 |          0.0010 |
|       7 |         392 |       00:02:28 |         0.06 |     8.67e-03 |       0.0020 |   3.7604e-05 |          0.0010 |
|       8 |         400 |       00:02:31 |         0.06 |              |       0.0020 |              |          0.0010 |
|       8 |         406 |       00:02:33 |         0.06 |     8.41e-03 |       0.0019 |   3.5326e-05 |          0.0010 |
|       8 |         420 |       00:02:38 |         0.06 |         0.01 |       0.0018 |   5.4354e-05 |          0.0010 |
|       8 |         434 |       00:02:44 |         0.06 |     8.55e-03 |       0.0021 |   3.6512e-05 |          0.0010 |
|       8 |         448 |       00:02:49 |         0.06 |     9.35e-03 |       0.0020 |   4.3710e-05 |          0.0010 |
|       9 |         450 |       00:02:50 |         0.06 |              |       0.0019 |              |          0.0010 |
|       9 |         462 |       00:02:55 |         0.06 |     8.62e-03 |       0.0019 |   3.7148e-05 |          0.0010 |
|       9 |         476 |       00:03:00 |         0.06 |         0.01 |       0.0019 |   5.9035e-05 |          0.0010 |
|       9 |         490 |       00:03:05 |         0.06 |     8.11e-03 |       0.0020 |   3.2875e-05 |          0.0010 |
|       9 |         500 |       00:03:09 |         0.06 |              |       0.0019 |              |          0.0010 |
|       9 |         504 |       00:03:10 |         0.06 |     8.70e-03 |       0.0019 |   3.7812e-05 |          0.0010 |
|      10 |         518 |       00:03:16 |         0.06 |     8.33e-03 |       0.0019 |   3.4664e-05 |          0.0010 |
|      10 |         532 |       00:03:21 |         0.06 |     8.04e-03 |       0.0018 |   3.2288e-05 |          0.0010 |
|      10 |         546 |       00:03:26 |         0.07 |     8.32e-03 |       0.0021 |   3.4642e-05 |          0.0010 |
|      10 |         550 |       00:03:28 |         0.06 |              |       0.0018 |              |          0.0010 |
|      10 |         560 |       00:03:32 |         0.06 |         0.01 |       0.0020 |   5.0528e-05 |          0.0010 |
|      11 |         574 |       00:03:37 |         0.06 |     7.62e-03 |       0.0018 |   2.9036e-05 |      1.0000e-04 |
|      11 |         588 |       00:03:42 |         0.06 |     7.51e-03 |       0.0018 |   2.8186e-05 |      1.0000e-04 |
|      11 |         600 |       00:03:47 |         0.06 |              |       0.0019 |              |      1.0000e-04 |
|      11 |         602 |       00:03:48 |         0.06 |     7.46e-03 |       0.0018 |   2.7849e-05 |      1.0000e-04 |
|      11 |         616 |       00:03:53 |         0.06 |     7.47e-03 |       0.0021 |   2.7900e-05 |      1.0000e-04 |
