
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>  1 looptimes , 1 training times , load amp = 1.000000 , bias = 6.500000e-01 
 looptime = 1 , training times = 1 , epoches = 34 , iteration = 3840 , loss = 1.196113e-02 , learnRate = 1.000000e-06 
 looptime = 1 , training times = 1 , epoches = 34 , iteration = 3920 , loss = 1.203123e-02 , learnRate = 1.000000e-06 
 looptime = 1 , training times = 1 , epoches = 35 , iteration = 4000 , loss = 1.221480e-02 , learnRate = 1.000000e-06 
 looptime = 1 , training times = 1 , epoches = 36 , iteration = 4080 , loss = 1.199718e-02 , learnRate = 1.000000e-06 
 looptime = 1 , training times = 1 , epoches = 36 , iteration = 4160 , loss = 1.216605e-02 , learnRate = 1.000000e-06 
 looptime = 1 , training times = 1 , epoches = 37 , iteration = 4240 , loss = 1.224942e-02 , learnRate = 1.000000e-06 
 looptime = 1 , training times = 1 , epoches = 38 , iteration = 4320 , loss = 1.171162e-02 , learnRate = 1.000000e-06 
 looptime = 1 , training times = 1 , epoches = 38 , iteration = 4400 , loss = 1.204028e-02 , learnRate = 1.000000e-06 
 looptime = 1 , training times = 1 , epoches = 39 , iteration = 4480 , loss = 1.222377e-02 , learnRate = 1.000000e-06 
 looptime = 1 , training times = 1 , epoches = 40 , iteration = 4560 , loss = 1.211378e-02 , learnRate = 1.000000e-06 
 looptime = 1 , training times = 1 , epoches = 40 , iteration = 4640 , loss = 1.216115e-02 , learnRate = 1.000000e-06 
 looptime = 1 , training times = 1 , epoches = 41 , iteration = 4720 , loss = 1.199865e-02 , learnRate = 1.000000e-07 
 looptime = 1 , training times = 1 , epoches = 42 , iteration = 4800 , loss = 1.185821e-02 , learnRate = 1.000000e-07 
 looptime = 1 , training times = 1 , epoches = 43 , iteration = 4880 , loss = 1.207153e-02 , learnRate = 1.000000e-07 
 looptime = 1 , training times = 1 , epoches = 43 , iteration = 4960 , loss = 1.192968e-02 , learnRate = 1.000000e-07 
 looptime = 1 , training times = 1 , epoches = 44 , iteration = 5040 , loss = 1.206500e-02 , learnRate = 1.000000e-07 
 looptime = 1 , training times = 1 , epoches = 45 , iteration = 5120 , loss = 1.208488e-02 , learnRate = 1.000000e-07 
 looptime = 1 , training times = 1 , epoches = 45 , iteration = 5200 , loss = 1.203423e-02 , learnRate = 1.000000e-07 
 looptime = 1 , training times = 1 , epoches = 46 , iteration = 5280 , loss = 1.205878e-02 , learnRate = 1.000000e-07 
 looptime = 1 , training times = 1 , epoches = 47 , iteration = 5360 , loss = 1.200722e-02 , learnRate = 1.000000e-07 
